Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,5.05E+00,5.91E-03,1.06E+04,1.06E+04,1.06E+04
1.05E-03,5.03E+00,6.36E-03,9.33E+03,9.33E+03,9.33E+03
1.10E-03,5.01E+00,6.84E-03,8.24E+03,8.25E+03,8.24E+03
1.10E-03,5.01E+00,6.84E-03,9.34E+03,9.35E+03,9.34E+03
1.50E-03,4.81E+00,1.09E-02,4.41E+03,4.42E+03,4.41E+03
2.00E-03,4.53E+00,1.59E-02,2.15E+03,2.15E+03,2.15E+03
3.00E-03,3.95E+00,2.59E-02,7.45E+02,7.49E+02,7.45E+02
4.00E-03,3.40E+00,3.53E-02,3.44E+02,3.47E+02,3.44E+02
5.00E-03,2.91E+00,4.39E-02,1.87E+02,1.90E+02,1.87E+02
6.00E-03,2.50E+00,5.18E-02,1.13E+02,1.16E+02,1.13E+02
8.00E-03,1.87E+00,6.57E-02,5.06E+01,5.26E+01,5.07E+01
8.98E-03,1.65E+00,7.16E-02,3.66E+01,3.83E+01,3.66E+01
8.98E-03,1.65E+00,7.16E-02,2.77E+02,2.78E+02,2.77E+02
1.00E-02,1.45E+00,7.73E-02,2.15E+02,2.16E+02,2.15E+02
1.50E-02,8.80E-01,9.76E-02,7.31E+01,7.41E+01,7.32E+01
2.00E-02,6.06E-01,1.10E-01,3.31E+01,3.38E+01,3.32E+01
3.00E-02,3.37E-01,1.23E-01,1.05E+01,1.09E+01,1.06E+01
4.00E-02,2.12E-01,1.29E-01,4.52E+00,4.86E+00,4.65E+00
5.00E-02,1.47E-01,1.31E-01,2.34E+00,2.61E+00,2.47E+00
6.00E-02,1.08E-01,1.31E-01,1.35E+00,1.59E+00,1.49E+00
8.00E-02,6.60E-02,1.30E-01,5.68E-01,7.63E-01,6.97E-01
1.00E-01,4.45E-02,1.26E-01,2.88E-01,4.59E-01,4.14E-01
