Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/,,,
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent,,,
1.00E-03,8.42E+00,4.69E-03,9.09E+03,9.10E+03,9.09E+03,,,
1.04E-03,8.39E+00,4.97E-03,8.45E+03,8.46E+03,8.45E+03,,,
1.07E-03,8.36E+00,5.27E-03,7.86E+03,7.87E+03,7.86E+03,,,
1.07E-03,8.36E+00,5.27E-03,8.20E+03,8.20E+03,8.20E+03,,,
1.50E-03,7.96E+00,8.97E-03,3.91E+03,3.92E+03,3.91E+03,,,
2.00E-03,7.45E+00,1.34E-02,1.99E+03,2.00E+03,1.99E+03,,,
3.00E-03,6.46E+00,2.19E-02,7.36E+02,7.42E+02,7.36E+02,,,
4.00E-03,5.63E+00,2.93E-02,3.55E+02,3.61E+02,3.55E+02,,,
4.56E-03,5.23E+00,3.30E-02,2.54E+02,2.59E+02,2.54E+02,,,
4.56E-03,5.23E+00,3.30E-02,7.50E+02,7.55E+02,7.50E+02,,,
4.70E-03,5.13E+00,3.39E-02,7.03E+02,7.08E+02,7.03E+02,,,
4.85E-03,5.04E+00,3.48E-02,6.59E+02,6.64E+02,6.59E+02,,,
4.85E-03,5.04E+00,3.48E-02,8.88E+02,8.93E+02,8.88E+02,,,
5.00E-03,4.94E+00,3.57E-02,8.38E+02,8.43E+02,8.38E+02,,,
5.19E-03,4.82E+00,3.68E-02,7.62E+02,7.67E+02,7.62E+02,,,
5.19E-03,4.82E+00,3.68E-02,8.79E+02,8.84E+02,8.79E+02,,,
6.00E-03,4.36E+00,4.13E-02,6.13E+02,6.18E+02,6.13E+02,,,
8.00E-03,3.45E+00,5.11E-02,2.89E+02,2.92E+02,2.89E+02,,,
1.00E-02,2.80E+00,5.96E-02,1.60E+02,1.63E+02,1.60E+02,,,
1.50E-02,1.84E+00,7.58E-02,5.32E+01,5.51E+01,5.33E+01,,,
2.00E-02,1.31E+00,8.65E-02,2.40E+01,2.54E+01,2.41E+01,,,
3.00E-02,7.46E-01,9.91E-02,7.72E+00,8.56E+00,7.82E+00,,,
3.32E-02,6.43E-01,1.02E-01,5.81E+00,6.55E+00,5.91E+00,,,
3.32E-02,6.43E-01,1.02E-01,3.51E+01,3.58E+01,3.52E+01,,,
4.00E-02,4.86E-01,1.06E-01,2.15E+01,2.21E+01,2.16E+01,,,
5.00E-02,3.45E-01,1.09E-01,1.19E+01,1.23E+01,1.20E+01,,,
6.00E-02,2.58E-01,1.11E-01,7.21E+00,7.58E+00,7.32E+00,,,
8.00E-02,1.58E-01,1.12E-01,3.24E+00,3.51E+00,3.35E+00,,,
1.00E-01,1.07E-01,1.10E-01,1.73E+00,1.94E+00,1.84E+00,,,
